Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,(in Rs. Cr.),,2014-03-01 00:00:00,2015-03-01 00:00:00,2016-03-01 00:00:00,1920-05-15 00:00:00,2018-03-01 00:00:00,2019-03-01 00:00:00,2020-03-01 00:00:00,2021-03-01 00:00:00,2022-03-01 00:00:00
,Assets ,,13574,14230,14626,15536,17560,18256,19869,68740,70506
,Non Current Assets ,,4045.7,4248.46,4281,5364,5900,6342,7548,54523,54984
,Gross Block,,5079,5412,5775,5171,5752,6459,7979,54924,55578
,Less: Accumulated Depreciation,,2333,2591,2517,752,1224,1744,2500,3481,4105
,Less: Impairment of Assets,,—,—,—,—,—,—,—,—,—
,Net Block,,2746,2821,3258,4419,4528,4715,5479,51443,51473
,Lease Adjustment A/c,,—,—,—,—,—,—,—,—,—
,Capital Work in Progress,,373,516,408,229,461,406,597,745,1313
,Long Term Investments,,380,324,32,6,2,2,2,2,2
,Long Term Loans & Advances,,546,587,550,703,902,1207,1467,1715,1570
,Other Non Current Assets,,0.7,0.46,33,7,7,12,3,618,626
,Current Assets ,,9528,9981,10323,10125,11644,11910,12303,14200,15509
,Inventory,,2940,2849,2726,2541,2513,2574,2767,3579,4096
,Accounts Receivable,,1017,1010,1264,1085,1310,1816,1149,1758,2236
,Short Term Investments,,2458,2701,2560,3788,2871,2714,1253,2707,3519
,Cash & Bank Balances,,2516,2689,3009,1828,3485,3757,5113,4471,3846
,Other Current Assets,,275,300,480,594,1254,860,1131,1278,1294
,Short Term Loans and Advances,,322,432,284,289,211,189,890,407,518
,Liabilities ,,13574,14230,14626,15536,17560,18256,19869,68740,70506
,Shareholders Funds ,,3537,4027,6573,6744,7281,7867,8229,47674,49061
,Share Capital,,216,216,216,216,216,216,216,235,235
,Share Warrants,,—,—,—,—,—,—,—,—,—
,Reserves,,3278,3768,6314,6499,7036,7627,7998,47434,48826
,Non Current Liabilities ,,1098,976,966,1056,1372,1704,2306,9943,10139
,Secured Loans,,8.44,7,—,—,—,—,—,—,—
,Unsecured Loans,,—,—,—,—,—,—,—,—,—
,Deferred Tax Assets/Liabilities,,-179.55,-199.42,-167,-170,-302,-373,-284,5971,6130
,Other Long Term Liabilities,,286,172,204,280,316,394,939,1027,1098
,Long Term Provisions,,984,996,929,946,1358,1683,1651,2945,2911
,Current Liabilities ,,8917,9202,7067,7714,8887,8667,9317,11103,11280
,Accounts Payable,,5825,5506,5685,6186,7170,7206,7535,8802,9068
,Short Term Loans,,37.14,36.04,177,277,—,99,—,—,—
,Other Current Liabilities ,,967,952,912,859,1029,839,1360,1794,1866
,Short Term Provisions,,2088,2708,293,392,688,523,422,507,346
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,(in Rs. Cr.),,2014-03-01 00:00:00,2015-03-01 00:00:00,2016-03-01 00:00:00,2017-03-01 00:00:00,2018-03-01 00:00:00,2019-03-01 00:00:00,2020-03-01 00:00:00,2021-03-01 00:00:00,2022-03-01 00:00:00
,Liabilities ,,13574,14230,14626,15536,17560,18256,19869,68740,70506
,Shareholders Funds ,,3537,4027,6573,6744,7281,7867,8229,47674,49061
,Share Capital,,216,216,216,216,216,216,216,235,235
,Share Warrants,,—,—,—,—,—,—,—,—,—
,Reserves,,3278,3768,6314,6499,7036,7627,7998,47434,48826
,Non Current Liabilities ,,1098,976,966,1056,1372,1704,2306,9943,10139
,Secured Loans,,8.44,7,—,—,—,—,—,—,—
,Unsecured Loans,,—,—,—,—,—,—,—,—,—
,Deferred Tax Assets/Liabilities,,-179.55,-199.42,-167,-170,-302,-373,-284,5971,6130
,Other Long Term Liabilities,,286,172,204,280,316,394,939,1027,1098
,Long Term Provisions,,984,996,929,946,1358,1683,1651,2945,2911
,Current Liabilities ,,8917,9202,7067,7714,8887,8667,9317,11103,11280
,Accounts Payable,,5825,5506,5685,6186,7170,7206,7535,8802,9068
,Short Term Loans,,37.14,36.04,177,277,—,99,—,—,—
,Other Current Liabilities ,,967,952,912,859,1029,839,1360,1794,1866
,Short Term Provisions,,2088,2708,293,392,688,523,422,507,346
