Company Name,Capital Turnover,OPM,ROCE
LT Foods,1.36,11%,15%
KRBL,0.94,16%,15%
Kohinoor,1,-2%,-2%
Adani Wilmar,5,3%,15%
Nestle India ,6,23%,138%
Britannia Industries ,2.82,17%,48%
Marico ,2.43,18%,44%
ITC ,0.96,35%,34%
HUL,1.06,25%,27%
Varun Beverages ,1.26,22%,28%
United Spirits ,1.46,17.00%,24.80%
Dabur India ,1.57,15%,24%
Jubilant FoodWorks ,0.85,25%,21%
Heritage Foods ,3.03,7%,21%
Bajaj Consumer Care ,1.06,20%,21.10%
Jyothy Labs ,1.73,11.00%,19.00%
ADF Foods ,1.175,16%,19%
Vadilal Industries ,1.34,14%,19%
Godrej Consumer Products ,0.84,20%,17%
Balrampur Chini Mills ,1.07,15.00%,16.10%
CCL Products (India) ,0.68,23.00%,15.60%
IFB Agro Industries ,1.93,8.00%,15.40%
United Breweries ,0.96,12.00%,11.50%
Hatsun Agro Product ,1.02,11.00%,11.20%
Tata Consumer Products ,0.77,13%,10%
NHC Foods ,3.17,3.00%,9.51%
Milkfood ,2.32,4%,9%
Parag Milk Foods ,1.71,5%,9%
Venky's (India) ,1.29,6%,8%
Zydus Wellness ,0.38,17%,6%
KSE ,5.35,1%,5%
Prataap Snacks ,0.66,4%,3%
DFM Foods ,3.17,-3%,-10%
Average,1.83,13.09%,20.17%
